date,pm2_5_mean,pm2_5_max,pm2_5_std,pm10,ozone,nitrogen_dioxide,sulphur_dioxide,carbon_monoxide,relative_humidity_2m,tavg,tmin,tmax,prcp,wspd,pres,fire_count,fire_frp_max,fire_frp_total
2023-11-23,100.45833333333331,143.9,24.62972606013111,149.27083333333334,172,54.395833333333336,21.27083333333333,1720.25,76.91666666666667,17.3,11.3,24.0,0.0,0.4,1013.9,6.0,0.63,2.78
2023-11-24,78.30416666666666,125.7,19.16907562051253,115.2875,191,44.65,19.22083333333333,1355.9583333333333,81.25,18.4,11.5,24.5,0.0,0.2,1016.9,59.0,9.02,189.75
2023-11-25,88.69583333333333,133.2,29.128418503117437,129.01250000000002,194,73.95833333333333,26.8375,2104.375,80.625,17.9,11.3,24.2,0.0,0.0,1017.5,0.0,0.0,0.0
2023-11-26,83.67083333333333,107.3,15.033686208461738,121.35,161,52.23333333333334,19.025,1756.5833333333333,83.79166666666667,17.3,11.2,23.5,0.0,0.5,1018.6,0.0,0.0,0.0
2023-11-27,70.32916666666667,97.8,17.87776075771641,101.97916666666669,137,45.94583333333333,20.675,1405.375,83.16666666666667,18.4,11.8,22.5,0.0,0.6,1016.9,3.0,1.03,2.28
2023-11-28,103.1125,136.0,18.55661870670643,149.18333333333334,186,55.6375,29.245833333333334,1745.2083333333333,82.875,18.1,14.0,25.0,0.0,1.2,1016.2,4.0,9.69,26.42
2023-11-29,76.49583333333334,111.1,17.27401867008638,110.14583333333331,179,52.6875,20.55,1563.7083333333333,83.0,19.4,12.5,26.0,0.0,0.2,1015.7,2.0,1.0,1.72
2023-11-30,73.67916666666666,93.6,12.296693764432456,108.72083333333336,122,31.695833333333336,14.541666666666666,867.5833333333334,88.41666666666667,17.8,13.5,21.5,1.5,4.1,1017.2,4.0,2.72,8.89
2023-12-01,55.42916666666667,80.6,10.24552836359723,83.10416666666667,130,28.95,11.5125,790.75,78.75,16.5,12.2,23.5,0.0,0.9,1018.4,1.0,7.53,7.53
2023-12-02,68.70833333333333,88.0,13.815111973508564,100.2,174,51.95,18.075,1531.75,82.75,16.8,11.8,25.0,0.0,0.3,1017.8,4.0,3.09,8.27
2023-12-03,97.26666666666668,134.1,30.891769927852334,140.44166666666666,213,79.37916666666666,33.520833333333336,2411.1666666666665,80.58333333333333,16.8,11.4,25.0,0.0,0.1,1018.2,9.0,7.83,29.46
2023-12-04,110.225,155.5,33.57623706808395,158.54166666666666,230,80.325,37.55,2327.0,85.54166666666667,17.4,11.2,23.5,0.0,0.6,1017.4,8.0,3.68,11.19
2023-12-05,97.18333333333334,116.4,14.820422650391311,139.20833333333334,244,60.16666666666666,29.77083333333333,1791.75,87.5,17.1,11.0,23.5,0.0,0.4,1017.4,13.0,4.3,27.65
2023-12-06,70.03333333333333,124.3,24.452112323916907,100.1875,194,51.3625,20.266666666666666,1554.4166666666667,79.58333333333333,17.4,10.5,24.5,0.0,1.1,1017.5,6.0,5.0,15.87
2023-12-07,83.41666666666667,117.3,24.47884031543173,119.49583333333334,206,64.50416666666666,24.954166666666666,1950.25,78.5,15.6,11.0,24.6,0.0,0.3,1016.9,12.0,3.04,23.82
2023-12-08,113.05833333333334,168.1,38.803820034570855,161.84166666666667,240,82.86666666666666,31.116666666666664,2608.583333333333,78.875,14.8,9.2,24.7,0.0,0.2,1015.9,8.0,7.47,30.72
2023-12-09,109.47083333333336,167.2,32.05445745529978,157.1,240,67.85416666666667,32.704166666666666,2231.083333333333,79.45833333333333,14.9,8.8,22.5,0.0,0.5,1016.9,6.0,5.01,14.7
